Trying seed 0
100000 enq, 1847 curr, 27 best, 4.35 s
200000 enq, 950 curr, 27 best, 9.54 s
300000 enq, 1479 curr, 27 best, 14.53 s
400000 enq, 983 curr, 27 best, 19.77 s
500000 enq, 344 curr, 27 best, 24.87 s
600000 enq, 1807 curr, 27 best, 29.51 s
700000 enq, 1466 curr, 27 best, 34.82 s
800000 enq, 1760 curr, 27 best, 40.36 s
900000 enq, 1898 curr, 27 best, 45.14 s
1000000 enq, 1262 curr, 27 best, 50.24 s
1100000 enq, 3889 curr, 27 best, 54.76 s
1200000 enq, 2085 curr, 27 best, 60.21 s
1300000 enq, 3263 curr, 27 best, 65.54 s
1400000 enq, 2402 curr, 27 best, 71.38 s
1500000 enq, 2984 curr, 27 best, 76.84 s
1600000 enq, 1022 curr, 27 best, 81.24 s
1700000 enq, 2970 curr, 27 best, 85.82 s
1800000 enq, 5914 curr, 27 best, 90.36 s
1900000 enq, 8686 curr, 27 best, 95.44 s
2000000 enq, 5609 curr, 27 best, 100.60 s
2100000 enq, 7364 curr, 27 best, 105.90 s
2200000 enq, 6809 curr, 27 best, 111.43 s
2300000 enq, 7950 curr, 27 best, 116.23 s
2400000 enq, 8033 curr, 27 best, 122.00 s
2500000 enq, 2926 curr, 27 best, 126.41 s
2600000 enq, 4566 curr, 27 best, 131.88 s
2700000 enq, 7161 curr, 27 best, 138.31 s
2800000 enq, 7461 curr, 27 best, 145.17 s
2900000 enq, 10208 curr, 27 best, 150.85 s
3000000 enq, 9981 curr, 27 best, 156.90 s
3100000 enq, 4584 curr, 27 best, 163.58 s
3200000 enq, 9022 curr, 27 best, 169.72 s
3300000 enq, 11656 curr, 27 best, 176.71 s
3400000 enq, 12869 curr, 27 best, 183.12 s
3500000 enq, 13238 curr, 27 best, 191.30 s
3600000 enq, 1067 curr, 27 best, 199.68 s
3700000 enq, 944 curr, 27 best, 206.87 s
3800000 enq, 1188 curr, 27 best, 212.76 s
3900000 enq, 752 curr, 27 best, 218.64 s
4000000 enq, 3785 curr, 27 best, 225.73 s
4100000 enq, 8033 curr, 27 best, 232.98 s
4200000 enq, 2926 curr, 27 best, 239.75 s
4300000 enq, 2074 curr, 27 best, 246.53 s
4400000 enq, 1733 curr, 27 best, 257.26 s
4500000 enq, 7723 curr, 27 best, 264.22 s
4600000 enq, 9529 curr, 27 best, 272.58 s
4700000 enq, 16594 curr, 27 best, 279.25 s
4800000 enq, 6208 curr, 27 best, 285.75 s
4900000 enq, 5519 curr, 27 best, 292.99 s
5000000 enq, 1628 curr, 27 best, 300.59 s
5100000 enq, 3778 curr, 27 best, 308.87 s
5200000 enq, 5958 curr, 27 best, 316.52 s
5300000 enq, 4291 curr, 27 best, 324.63 s
5400000 enq, 3585 curr, 27 best, 333.02 s
5500000 enq, 3965 curr, 27 best, 340.04 s
5600000 enq, 3224 curr, 27 best, 347.38 s
5700000 enq, 3038 curr, 27 best, 354.17 s
5800000 enq, 4750 curr, 27 best, 361.66 s
5900000 enq, 6843 curr, 27 best, 369.50 s
6000000 enq, 4618 curr, 27 best, 376.86 s
6100000 enq, 8380 curr, 27 best, 383.21 s
6200000 enq, 11559 curr, 27 best, 390.32 s
6300000 enq, 15796 curr, 27 best, 397.55 s
6400000 enq, 13686 curr, 27 best, 404.69 s
6500000 enq, 13570 curr, 27 best, 411.12 s
6600000 enq, 15755 curr, 27 best, 418.91 s
6700000 enq, 24064 curr, 27 best, 426.04 s
6800000 enq, 24516 curr, 27 best, 433.42 s
6900000 enq, 21165 curr, 27 best, 439.90 s
7000000 enq, 23030 curr, 27 best, 445.69 s
7100000 enq, 31818 curr, 27 best, 452.74 s
7200000 enq, 34797 curr, 27 best, 459.19 s
7300000 enq, 35856 curr, 27 best, 464.79 s
7400000 enq, 36188 curr, 27 best, 470.69 s
7500000 enq, 35422 curr, 27 best, 476.85 s
7600000 enq, 34341 curr, 27 best, 484.89 s
7700000 enq, 33133 curr, 27 best, 491.43 s
7800000 enq, 33597 curr, 27 best, 498.80 s
7900000 enq, 33285 curr, 27 best, 505.00 s
8000000 enq, 33233 curr, 27 best, 511.36 s
8100000 enq, 31622 curr, 27 best, 519.91 s
8200000 enq, 31506 curr, 27 best, 527.34 s
8300000 enq, 642 curr, 27 best, 535.49 s
8400000 enq, 10813 curr, 27 best, 543.05 s
8500000 enq, 13064 curr, 27 best, 550.99 s
8600000 enq, 9581 curr, 27 best, 559.00 s
8700000 enq, 16520 curr, 27 best, 566.90 s
8800000 enq, 22091 curr, 27 best, 574.77 s
8900000 enq, 20202 curr, 27 best, 587.13 s
9000000 enq, 20770 curr, 27 best, 594.26 s
9100000 enq, 6844 curr, 27 best, 602.10 s
9200000 enq, 31397 curr, 27 best, 610.39 s
9300000 enq, 33003 curr, 27 best, 619.23 s
9400000 enq, 34289 curr, 27 best, 628.30 s
9500000 enq, 32093 curr, 27 best, 636.79 s
9600000 enq, 612 curr, 27 best, 649.92 s
9700000 enq, 4349 curr, 27 best, 656.00 s
9800000 enq, 6461 curr, 27 best, 663.23 s
9900000 enq, 5229 curr, 27 best, 672.75 s
10000000 enq, 11175 curr, 27 best, 680.96 s
10100000 enq, 16475 curr, 27 best, 688.70 s
10200000 enq, 16063 curr, 27 best, 698.16 s
10300000 enq, 13711 curr, 27 best, 708.27 s
10400000 enq, 6107 curr, 27 best, 718.32 s
10500000 enq, 14161 curr, 27 best, 726.02 s
10600000 enq, 21194 curr, 27 best, 734.78 s
10700000 enq, 21267 curr, 27 best, 743.21 s
10800000 enq, 20379 curr, 27 best, 752.97 s
10900000 enq, 5881 curr, 27 best, 762.81 s
11000000 enq, 6588 curr, 27 best, 770.66 s
11100000 enq, 9791 curr, 27 best, 780.30 s
11200000 enq, 7545 curr, 27 best, 786.90 s
11300000 enq, 13593 curr, 27 best, 794.12 s
11400000 enq, 25195 curr, 27 best, 801.28 s
11500000 enq, 20456 curr, 27 best, 810.18 s
11600000 enq, 8984 curr, 27 best, 818.00 s
11700000 enq, 8057 curr, 27 best, 825.44 s
11800000 enq, 6905 curr, 27 best, 835.30 s
11900000 enq, 16205 curr, 27 best, 843.44 s
12000000 enq, 5932 curr, 27 best, 852.30 s
12100000 enq, 8241 curr, 27 best, 861.17 s
12200000 enq, 7314 curr, 27 best, 870.70 s
12300000 enq, 8166 curr, 27 best, 878.63 s
12400000 enq, 10949 curr, 27 best, 887.13 s
12500000 enq, 8576 curr, 27 best, 897.02 s
